tool			CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43654	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585	CPAchecker reuse-precision-k-induction:43585
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.003.5a0e3ad.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.016010478	839.213667643955	10016.464896	apollon003	true	103.584379171	86.00847171503119	1429.610496	apollon056	true	6.685886297	3.4720618459396064	140.423168	apollon086	true	5.826594026	3.057440432952717	148.504576	apollon103	true	15.790345133	10.641894367989153	283.611136	apollon157	true	16.968662389	12.329579149954952	273.162240	apollon025
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.004.2113852.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.267664605	730.7028690739535	9935.294464	apollon049	true	28.323397595	16.376910570077598	581.840896	apollon021	true	6.356898534	3.302769619040191	142.192640	apollon063	true	5.448741486	2.850179685978219	171.487232	apollon093	true	9.471904717	5.4708449468016624	194.863104	apollon008	true	9.090686822	5.429770702961832	201.068544	apollon164
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.004.2113852.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.548760029	711.9432516379748	9941.880832	apollon039	TIMEOUT	900.994667199	744.432457211893	9951.236096	apollon030	true	5.592399041	2.9156993830110878	134.905856	apollon102	true	5.777511649	3.005774814984761	145.686528	apollon037	true	8.89539972	5.186793671920896	196.018176	apollon001	true	8.834861781	5.143626568024047	191.647744	apollon003
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.004.2113852.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.512619074	745.4819204350933	9904.074752	apollon163	true	56.468001864	42.876495288917795	1124.593664	apollon002	true	6.511982668	3.386012241942808	130.494464	apollon061	true	5.532469356	2.8755283679347485	130.482176	apollon081	true	9.298580521	5.231481567025185	207.323136	apollon102	true	9.085057597	5.161526912939735	190.947328	apollon163
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.005.6c3fb55.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.555272302	734.6526039449964	9953.009664	apollon098	true	31.597791187	18.429086938966066	594.579456	apollon119	true	6.309776796	3.2776524601504207	143.683584	apollon141	true	5.393812661	2.8622477609897032	145.448960	apollon095	true	9.662214822	5.578088497044519	196.091904	apollon111	true	8.574916299	5.0121765290386975	195.686400	apollon003
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.005.6c3fb55.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.508162332	738.4595123839099	9911.934976	apollon067	true	32.774997318	18.707616434898227	588.767232	apollon083	true	6.50797437	3.3781255369540304	139.116544	apollon164	true	5.03994491	2.64507459604647	132.747264	apollon121	true	8.60521005	5.00298583204858	208.748544	apollon001	true	8.058171963	4.705114171956666	211.968000	apollon083
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.005.6c3fb55.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.535270337	719.6952601191588	9915.527168	apollon063	true	55.018547048	40.838246766943485	1019.731968	apollon099	true	6.850001666	3.532610072987154	152.858624	apollon015	true	5.363113318	2.7819742540596053	135.434240	apollon100	true	8.627891413	4.881309561897069	202.854400	apollon102	true	8.923346448	4.969850696972571	205.848576	apollon049
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.006.109e941.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	901.266873815	763.760849609971	9874.980864	apollon158	true	41.232604329	23.937992529943585	687.009792	apollon106	true	6.506792928	3.3996816019061953	136.953856	apollon083	true	5.981568782	3.1345025149639696	142.921728	apollon023	true	9.829036536	5.609112619888037	258.125824	apollon089	true	9.259752329	5.370882343966514	201.338880	apollon081
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.006.109e941.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.526110466	750.9665337009355	9988.120576	apollon010	true	250.836835126	211.32378079695627	3262.906368	apollon022	true	6.463560581	3.3780548749491572	135.794688	apollon061	true	6.175686125	3.2563373119337484	148.099072	apollon035	true	11.428137499	6.189575450960547	225.419264	apollon003	true	11.104990298	5.989613736048341	223.117312	apollon007
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.006.109e941.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	900.847070204	828.1947638411075	9592.045568	apollon092	TIMEOUT	900.599835389	861.1875107719097	3888.324608	apollon134	true	7.667244605	3.958009732188657	156.254208	apollon157	true	6.428371462	3.358860554988496	150.220800	apollon109	true	10.605640434	6.020109881879762	215.658496	apollon022	true	10.004970191	5.651940961019136	259.407872	apollon016
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.007.5ed12f1.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.548126906	776.846585940104	9901.400064	apollon072	true	35.925570015	21.052433137083426	671.039488	apollon166	true	7.048000189	3.668966887984425	137.416704	apollon067	true	5.6594602	2.965258762938902	145.412096	apollon126	true	7.977393149	4.56445473106578	198.823936	apollon057	true	9.67703264	5.292388082016259	217.964544	apollon151
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.007.5ed12f1.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.537155082	770.6299303302076	9928.802304	apollon155	true	38.537061858	24.946400969056413	784.134144	apollon116	true	6.401669315	3.302248180145398	156.250112	apollon037	true	5.837119241	3.0269604669883847	151.330816	apollon022	true	10.374157954	5.936910121003166	227.721216	apollon140	true	9.419833184	5.720961738959886	204.840960	apollon092
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.007.5ed12f1.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.552270166	725.3976820479147	10078.732288	apollon056	true	82.373679088	67.36521358089522	1374.564352	apollon151	true	6.947749058	3.6077507720328867	154.345472	apollon109	true	6.31372316	3.2898379700491205	151.674880	apollon028	true	10.313493705	5.889544384088367	226.000896	apollon111	true	10.606431649	6.042127690976486	230.625280	apollon045
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.008.5a167f4.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.555173983	755.8630253868178	9970.769920	apollon057	true	34.088774156	20.19490342400968	736.137216	apollon135	true	6.655940594	3.4426434920169413	136.105984	apollon020	true	5.96149224	3.1174197369255126	139.948032	apollon166	true	9.374376655	5.466332442127168	224.043008	apollon004	true	8.905037232	5.001685780007392	261.607424	apollon062
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.008.5a167f4.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.125952808	795.964210446924	9644.134400	apollon113	true	560.086438533	521.1712209761608	3797.504000	apollon031	true	6.567578715	3.3900571251288056	141.492224	apollon047	true	6.199944767	3.222864318988286	146.219008	apollon116	true	11.482755273	6.067469411995262	232.869888	apollon164	true	9.865834479	5.550890381098725	231.919616	apollon149
drivers--rtc--rtc-pcf2123.ko/drivers--rtc--rtc-pcf2123.ko.008.5a167f4.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	900.785337523	759.9743494889699	9957.175296	apollon010	true	89.473733691	73.75539121520706	1254.035456	apollon101	true	6.862574427	3.553819124819711	149.819392	apollon071	true	6.142526873	3.242475824896246	136.470528	apollon049	true	11.696238569	6.4655240590218455	228.851712	apollon002	true	10.814327086	5.96885644888971	221.122560	apollon124
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.001.5a0e3ad.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	901.412693146	755.9587560191285	10102.841344	apollon144	true	25.363391045	15.24347233492881	456.597504	apollon154	true	5.94446738	3.106820950983092	137.756672	apollon102	true	5.581882185	2.97916886000894	139.034624	apollon010	true	8.0208117	4.130909289000556	193.363968	apollon057	true	8.662277267	4.533004077966325	191.328256	apollon037
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.001.5a0e3ad.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.592596691	750.2925729160197	10226.868224	apollon164	true	39.331637563	28.226468910928816	799.125504	apollon160	true	6.90825826	3.571403109934181	135.704576	apollon054	true	5.830229822	3.039653804968111	142.598144	apollon154	true	8.644251689	4.587720004143193	193.638400	apollon002	true	9.020611439	4.696113026002422	192.512000	apollon006
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.001.5a0e3ad.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.494119733	752.6694921420421	10293.657600	apollon073	TIMEOUT	900.885851896	855.1557525328826	5372.268544	apollon167	true	8.628689101	4.455244657816365	154.689536	apollon013	true	6.861418517	3.5839645289815962	136.462336	apollon074	true	11.820121563	6.132800339022651	210.526208	apollon163	true	10.477495778	5.490391538012773	211.918848	apollon017
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.002.6bde908.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	901.12431853	743.603404040914	10246.877184	apollon094	true	25.476602924	14.982649146113545	495.591424	apollon058	true	6.77210688	3.5022981171496212	149.282816	apollon143	true	5.721899919	3.0227192220045254	131.874816	apollon079	true	10.04828961	5.219231975963339	180.568064	apollon020	true	8.243869154	4.328387601999566	188.846080	apollon083
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.002.6bde908.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.661630982	762.8545536850579	10140.192768	apollon153	TIMEOUT	900.683324876	860.9647838701494	5248.221184	apollon129	true	7.679532194	3.9858006900176406	147.042304	apollon125	true	6.423357394	3.323105351999402	150.446080	apollon015	true	9.659609802	4.988302040146664	186.339328	apollon140	true	10.092729003	5.313803206081502	208.801792	apollon052
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.002.6bde908.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.284225212	752.3676495689433	10281.271296	apollon133	true	83.631238634	72.1477569558192	1105.530880	apollon072	true	7.567905932	3.917313426034525	157.208576	apollon050	true	6.023804597	3.142933505005203	140.967936	apollon155	true	10.586864533	5.41726134181954	236.384256	apollon016	true	9.866211054	5.144612923031673	192.479232	apollon101
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.003.355b200.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	901.102765474	738.6156239779666	10287.460352	apollon092	true	24.39396926	14.515635333955288	512.450560	apollon081	true	6.132682606	3.1936088069342077	153.145344	apollon044	true	5.734458042	2.9693547380156815	143.077376	apollon027	true	9.464222567	4.926046267151833	189.227008	apollon002	true	7.671157326	4.048024276038632	168.337408	apollon140
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.003.355b200.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.566630826	741.8750364140142	10236.321792	apollon111	true	46.84078742	35.32945290300995	862.928896	apollon160	true	6.493004949	3.3710443458985537	147.906560	apollon161	true	5.684016514	2.991796917980537	143.335424	apollon009	true	8.341371237	4.35056233801879	180.682752	apollon117	true	8.068259294	4.287374295992777	166.412288	apollon140
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.003.355b200.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.536697116	759.6144215730019	10192.748544	apollon047	true	75.227300458	62.80275674513541	954.941440	apollon001	true	7.021165775	3.636530684074387	151.728128	apollon043	true	6.132458546	3.1952498570317402	162.746368	apollon005	true	10.229819247	5.443017479032278	197.468160	apollon054	true	9.072226135	4.738555504009128	199.045120	apollon105
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.004.462dd83.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.694009211	763.6658180030063	10231.652352	apollon108	true	27.972440544	17.385865396121517	477.790208	apollon089	true	5.448190113	2.922936593880877	136.912896	apollon086	true	5.573179487	2.9257225070614368	136.851456	apollon144	true	9.716795344	5.052357353968546	178.012160	apollon054	true	9.028116185	4.682701623998582	183.021568	apollon053
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.004.462dd83.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.497593089	767.0849470610265	10157.031424	apollon081	TIMEOUT	900.747383304	857.95783041697	6450.200576	apollon113	true	6.258366627	3.256841105874628	156.913664	apollon052	true	6.139275333	3.19500995404087	148.836352	apollon001	true	8.632264292	4.509758081054315	172.527616	apollon065	true	9.494518639	4.954352588974871	197.345280	apollon024
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.004.462dd83.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.653920695	739.5287721999921	9631.883264	apollon051	true	65.578817252	54.303954710951075	1056.116736	apollon159	true	6.870242311	3.5686459799762815	149.999616	apollon052	true	5.772783834	3.0338770479429513	136.675328	apollon081	true	9.199558388	4.767854635138065	188.071936	apollon036	true	9.155143467	4.825831789989024	182.583296	apollon055
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.005.26f2b35.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.629696839	742.9534166590311	10195.943424	apollon036	true	27.135828626	16.94280901993625	431.841280	apollon046	true	6.702292856	3.48528821580112	132.354048	apollon081	true	5.480580408	2.850885418942198	141.844480	apollon052	true	8.134922336	4.230137053877115	162.357248	apollon064	true	7.707574702	4.078846559976228	182.124544	apollon052
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.005.26f2b35.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.441344353	745.6710885420907	9757.655040	apollon124	true	51.312118056	41.26440985687077	810.201088	apollon044	true	7.101868306	3.6866249800659716	152.399872	apollon091	true	5.754412984	3.0002062019193545	148.955136	apollon073	true	10.480503239	5.421079606050625	177.299456	apollon077	true	8.092247371	4.248089788947254	168.357888	apollon149
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.005.26f2b35.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	900.756561549	760.4735680751037	10160.889856	apollon067	true	62.027844744	51.5234733610414	874.483712	apollon082	true	7.67424445	3.968860025983304	157.708288	apollon163	true	5.990598878	3.115688428049907	153.747456	apollon035	true	9.454145505	4.902894558850676	175.214592	apollon099	true	9.319767209	4.8356667739572	183.574528	apollon139
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.006.04e961f.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.003586503	748.4988787348848	10179.588096	apollon052	true	26.636518597	15.992350880987942	482.959360	apollon079	true	5.501780587	2.871628491906449	145.432576	apollon097	true	5.711595536	3.0046355690574273	169.115648	apollon016	true	8.325076021	4.339112450834364	157.306880	apollon013	true	7.978582233	4.189752854057588	182.210560	apollon117
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.006.04e961f.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.637770904	739.0643653741572	10228.813824	apollon159	true	56.319583802	44.51907119806856	1041.895424	apollon079	true	7.684661393	3.970957665005699	175.497216	apollon084	true	5.838017331	3.0954221360152587	139.563008	apollon025	true	8.838914356	4.597837815992534	183.435264	apollon116	true	8.131367215	4.2228263090364635	184.463360	apollon039
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.006.04e961f.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.33339533	763.2253039069474	10151.641088	apollon110	true	62.265792447	51.17412857618183	1180.442624	apollon030	true	6.529986636	3.380999072920531	161.579008	apollon107	true	6.118753681	3.2083929571090266	136.208384	apollon013	true	8.825032348	4.593168998835608	171.479040	apollon014	true	8.626968204	4.530749942990951	171.851776	apollon004
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.007.d1723fa.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	902.270403729	727.7676602150314	10252.431360	apollon025	true	22.619609599	13.36917324992828	536.281088	apollon117	true	5.643605793	2.9923775140196085	131.399680	apollon066	true	5.814166462	3.026727500022389	136.404992	apollon159	true	9.298055573	4.864403018029407	165.597184	apollon036	true	8.155429101	4.272534758900292	178.728960	apollon045
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.007.d1723fa.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.124021703	758.9734597271308	10100.760576	apollon115	TIMEOUT	900.806924061	861.0128663659561	5693.030400	apollon096	true	7.385042761	3.826267483877018	156.258304	apollon163	true	6.710114396	3.4689074490452185	165.687296	apollon060	true	8.575220081	4.477029687026516	179.097600	apollon030	true	10.27716592	5.3844432450132445	191.721472	apollon047
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.007.d1723fa.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	901.409636161	730.7212394129019	10274.414592	apollon005	true	60.330426701	49.72314159316011	1192.689664	apollon054	true	7.758725796	4.017251675017178	144.437248	apollon095	true	5.746073687	3.0154403779888526	133.861376	apollon136	true	8.63604166	4.467739326879382	177.545216	apollon092	true	8.394062205	4.36281690292526	181.936128	apollon030
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.008.1b9e450.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	900.746968684	729.979120264994	10197.995520	apollon042	true	22.026684268	13.019381619989872	427.847680	apollon122	true	6.972138061	3.608130580978468	145.317888	apollon028	true	5.978041759	3.1629528540652245	156.135424	apollon131	true	9.156343101	4.7367189028300345	161.210368	apollon063	true	7.347210599	3.8541437099920586	155.160576	apollon057
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.008.1b9e450.32_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.50966458	729.5465609540697	10229.420032	apollon139	true	69.694684536	59.484510811045766	883.621888	apollon058	true	6.651105283	3.4499287779908627	158.126080	apollon101	true	5.973012741	3.2031883778981864	135.241728	apollon051	true	9.865387897	5.097829347010702	179.810304	apollon036	true	8.628183409	4.577783532091416	175.546368	apollon076
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.008.1b9e450.39_7a.cil.yml	unreach-call-main0	true	TIMEOUT	902.559797902	739.6716972889844	10236.096512	apollon082	true	62.379634591	51.04209840204567	876.662784	apollon037	true	6.337182614	3.29088843613863	144.797696	apollon117	true	5.600525868	2.9754605049965903	161.808384	apollon165	true	9.831743896	5.0910487070214	183.222272	apollon019	true	9.362094079	4.874805103987455	185.614336	apollon015
drivers--video--backlight--lms283gf05.ko/drivers--video--backlight--lms283gf05.ko.009.7e4b9d0.08_1a.cil.yml	unreach-call-main0	true	TIMEOUT	900.906177983	729.8978728249203	10181.713920	apollon130	true	24.089943217	13.986661045113578	451.121152	apollon118	true	6.781669743	3.518479732098058	151.961600	apollon150	true	5.511664026	2.950357589055784	145.756160	apollon035	true	7.245885485	3.8705544001422822	163.405824	apollon051	true	8.508141988	4.428896453930065	168.775680	apollon113
